Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
WO2019115247A1,1,0,1,1,0,0,1,0
CN109278533A,1,0,1,1,0,0,1,0
CN109278535A,1,0,1,1,0,0,1,0
US8920275,1,1,1,0,0,1,1,1
US9193255,1,1,0,1,0,1,0,0
US7296644,1,1,0,0,1,1,0,0
CN109278532A,1,0,1,1,0,0,1,0
US6849017,1,1,0,0,1,1,0,0
US7753149,1,1,0,0,1,1,0,0
US6176808,1,1,0,0,1,1,0,0
WO2003078188A2,1,1,0,1,0,1,0,0
US8230956,1,1,0,1,0,1,0,0
FR3062358A1,1,1,1,1,0,0,1,1
US9511763,1,1,1,1,0,0,1,1
DE102012218120A1,1,1,1,1,0,0,1,1
US20180236867A1,1,1,0,0,1,1,0,0
US8469127,1,1,0,0,1,1,0,0
CN105291813B,1,1,1,0,1,0,1,1
US10023184,1,1,1,0,0,0,1,1
US20030116368A1,1,1,1,0,0,0,1,1
US8813935,1,1,1,0,0,0,1,1
WO2014202067A3,1,1,1,0,0,0,1,1
US10183566,1,1,1,0,0,0,1,1
US10137886,1,1,1,0,0,0,1,1
US9086126,1,1,1,0,0,0,1,1
US10279687,1,1,1,0,0,0,1,1
US9393957,1,1,1,0,0,0,1,1
US9862377,1,1,1,0,0,0,1,1
WO2018184826A1,1,1,1,0,0,0,1,1
US10190559,1,1,1,0,0,0,1,1
US9809106,1,1,1,0,0,0,1,1
US20190202278A1,1,0,1,0,1,0,1,0
DE102016007702A1,1,1,1,0,0,0,1,1
US10086827,1,1,1,0,0,0,1,1
US10259307,1,1,1,0,0,0,1,1
EP1693238B1,1,1,0,1,0,1,0,0
EP1377473B1,1,1,0,0,1,1,0,0
US6499549,1,1,0,0,1,1,0,0
DE102012218121A1,1,1,1,1,0,0,1,1
DE102015201458A1,1,1,0,1,1,1,1,1
US9108637,1,1,1,0,0,0,1,1
WO2018157879A1,1,1,1,0,0,0,1,1
DE102011113326A1,1,1,1,0,0,0,1,1
EP2457760A3,1,1,1,0,0,0,1,1
US10369879,1,1,1,0,0,0,1,1
WO2014202068A3,1,1,1,0,0,0,1,1
US9576405,1,1,1,0,0,0,1,1
US9834193,1,1,1,0,0,0,1,1
WO2019034345A1,1,0,1,1,0,0,1,0
US9789923,1,1,0,1,0,1,1,1
US20180126838A1,1,1,1,0,0,0,1,1
US10214203,1,1,1,0,0,0,1,1
WO2018161996A1,1,1,1,0,0,0,1,1
US10358124,1,1,1,1,0,0,1,1
US10343676,1,1,1,0,0,0,1,1
US10160440,1,1,1,0,0,0,1,1
US9920797,1,1,1,0,0,0,1,1
WO2018162000A1,1,1,1,0,0,0,1,1
JP5706274B2,1,1,1,1,0,0,1,1
US20180072306A1,1,1,1,1,0,0,1,1
DE102014220971A1,1,0,0,1,1,0,1,1
US20100180722A1,1,1,0,1,1,1,1,1
US10286770,1,1,1,0,0,0,1,1
US10259448,1,1,1,0,0,0,1,1
US8939867,1,1,1,0,0,0,1,1
US20170001622A1,1,0,1,1,1,0,0,0
US7921949,1,1,0,0,1,1,0,0
